brand,pair_count,distinct_customers,distinct_conversations,dm_deflection_rate,substantive_resolution_rate,actionable_resolution_rate,non_english_reply_rate,exact_duplicate_rate,empty_after_normalisation,with_context_rate,mean_thread_length,median_thread_length,first_seen,last_seen,span_days,distinct_months,escalation_sensitive_rate,escalation_sensitive_count,clusters_sampled,distinct_intents_at_3pct,largest_intent_share,intent_entropy,intent_entropy_normalised,rare_intent_clusters,rare_intent_pairs_estimated,near_duplicate_rate,retrieval_nn_similarity_median,retrieval_nn_similarity_p25,usable_grounding_evidence_rate,usable_grounding_evidence_pairs,f_volume,f_intents,f_grounding,f_escalation_volume,f_escalation_band,f_temporal,passes_all,failed_criteria
AmazonHelp,152903,70950,82476,0.0635,0.3027,0.0183,0.1658,0.0551,4913,0.5007,5.31,3,2015-06-13T01:34:49+00:00,2017-12-03T23:09:03+00:00,904,25,0.0617,9436,2713,11,0.3985,2.0725,0.834,6,34886,0.0,0.332,0.2812,0.0173,2645,True,True,True,True,True,True,True,-
AppleSupport,105368,75702,80625,0.3452,0.3928,0.0923,0.0004,0.0347,874,0.2948,3.26,2,2016-03-04T01:19:41+00:00,2017-12-03T23:03:13+00:00,639,16,0.0255,2689,2903,7,0.3793,2.0393,0.8207,6,18874,0.008,0.3869,0.3243,0.0891,9388,True,True,True,True,True,True,True,-
Uber_Support,55150,38109,41891,0.6016,0.1777,0.0094,0.0069,0.0212,482,0.287,4.41,2,2015-07-20T07:42:33+00:00,2017-12-03T22:57:07+00:00,867,20,0.1599,8821,2883,10,0.3569,2.0989,0.8447,6,11783,0.002,0.3511,0.3036,0.0092,507,True,True,False,True,True,True,False,grounding
SpotifyCares,41353,27528,28258,0.0944,0.5051,0.0425,0.0065,0.0285,546,0.3703,4.47,2,2013-09-18T19:26:22+00:00,2017-12-03T22:07:39+00:00,1537,21,0.0465,1922,2861,11,0.4558,1.9574,0.7877,6,8426,0.002,0.3978,0.3289,0.0413,1707,True,True,True,True,True,True,True,-
Delta,36166,22190,26023,0.1545,0.1296,0.011,0.0157,0.0277,232,0.3226,3.66,2,2012-11-27T11:32:15+00:00,2017-12-03T22:53:29+00:00,1832,17,0.0257,931,2882,11,0.3782,2.0958,0.8434,6,8897,0.002,0.3417,0.2912,0.0107,386,True,True,False,True,True,True,False,grounding
AmericanAir,36141,21549,26183,0.146,0.1612,0.0196,0.0031,0.0087,174,0.3279,3.2,2,2011-06-16T13:38:36+00:00,2017-12-03T22:55:11+00:00,2362,23,0.0387,1398,2932,12,0.4014,2.0424,0.8219,8,12215,0.002,0.3254,0.2784,0.0194,701,True,True,False,True,True,True,False,grounding
TMobileHelp,33128,19603,22675,0.6466,0.2204,0.0852,0.0052,0.0262,299,0.4011,15.06,2,2013-05-07T23:23:31+00:00,2017-12-03T22:54:55+00:00,1670,16,0.0751,2487,2874,10,0.4593,1.9331,0.7779,5,4875,0.014,0.3528,0.3023,0.083,2749,True,True,True,True,True,True,True,-
comcastcares,29916,21526,23883,0.3389,0.5067,0.0084,0.0031,0.0227,226,0.2769,5.87,2,2014-07-27T19:16:18+00:00,2017-12-03T22:38:05+00:00,1225,13,0.0624,1868,2890,10,0.4481,1.9693,0.7925,6,6190,0.004,0.3541,0.3006,0.0082,245,True,True,False,True,True,True,False,grounding
SouthwestAir,27834,19401,21513,0.1378,0.1474,0.0235,0.0065,0.0118,127,0.2616,9.49,2,2014-12-19T05:50:34+00:00,2017-12-03T22:43:10+00:00,1080,15,0.0193,538,2928,8,0.4074,1.9314,0.7773,8,6920,0.008,0.3355,0.2886,0.0232,645,True,True,False,True,True,True,False,grounding
VirginTrains,25843,12528,14808,0.0238,0.1617,0.016,0.0112,0.0118,165,0.4655,5.3,2,2012-03-12T16:48:24+00:00,2017-12-03T22:44:15+00:00,2092,19,0.0725,1873,2920,10,0.4055,2.0235,0.8143,6,5159,0.0,0.3481,0.2971,0.0158,408,True,True,False,True,True,True,False,grounding
Tesco,25101,15550,16653,0.169,0.2982,0.0149,0.0069,0.0155,211,0.391,5.14,2,2014-10-12T15:17:01+00:00,2017-12-03T22:07:38+00:00,1148,25,0.0396,995,2913,12,0.4593,1.961,0.7892,8,8125,0.0,0.3257,0.281,0.0147,368,True,True,False,True,True,True,False,grounding
Ask_Spectrum,24538,16854,18434,0.102,0.5734,0.0106,0.0007,0.0141,158,0.3169,4.87,2,2015-04-26T20:04:03+00:00,2017-12-03T23:04:58+00:00,952,11,0.0454,1115,2911,9,0.3896,2.0246,0.8148,5,3590,0.002,0.3679,0.3158,0.0105,257,True,True,False,True,True,True,False,grounding
British_Airways,23879,14177,16379,0.1073,0.2512,0.0312,0.004,0.005,61,0.3301,3.53,2,2012-04-27T21:19:38+00:00,2017-12-03T22:03:38+00:00,2046,19,0.0508,1213,2965,11,0.3902,2.0731,0.8343,7,6837,0.0,0.3197,0.2796,0.031,740,True,True,False,True,True,True,False,grounding
hulu_support,21024,13254,14895,0.0263,0.4317,0.0636,0.0025,0.0085,97,0.3342,4.01,2,2014-09-15T23:53:27+00:00,2017-12-03T22:13:23+00:00,1174,15,0.0313,658,2949,11,0.4507,1.9678,0.7919,6,4505,0.0,0.3765,0.3167,0.0631,1326,True,True,False,True,True,True,False,grounding
XboxSupport,19542,12765,13370,0.1783,0.3251,0.0521,0.0014,0.0291,331,0.4459,6.45,2,2014-01-29T23:49:35+00:00,2017-12-03T23:05:04+00:00,1403,18,0.028,547,2844,8,0.5682,1.6825,0.6771,9,5758,0.0,0.3797,0.323,0.0506,988,True,True,False,True,True,True,False,grounding
sprintcare,19438,12516,13354,0.4155,0.2115,0.0199,0.0145,0.0199,254,0.4056,7.07,2,2011-11-28T18:39:16+00:00,2017-12-03T22:36:33+00:00,2197,18,0.0761,1480,2841,10,0.4463,1.9515,0.7854,7,4467,0.002,0.3779,0.3175,0.0195,379,True,True,False,True,True,True,False,grounding
AskPlayStation,18439,12108,12527,0.2393,0.2451,0.0781,0.0951,0.0421,152,0.3832,3.48,2,2014-07-12T19:15:17+00:00,2017-12-03T22:33:52+00:00,1240,27,0.0606,1118,2828,10,0.4059,2.0313,0.8174,6,3709,0.016,0.4187,0.3534,0.0748,1379,True,True,False,True,True,True,False,grounding
GWRHelp,18311,7548,10676,0.0125,0.2596,0.0116,0.0092,0.0092,94,0.4671,5.07,2,2013-02-11T12:55:02+00:00,2017-12-03T22:51:26+00:00,1756,20,0.0476,871,2921,11,0.3834,2.077,0.8359,5,3134,0.01,0.35,0.297,0.0115,210,True,True,False,True,True,True,False,grounding
ChipotleTweets,18188,14157,14387,0.0417,0.0849,0.0152,0.0392,0.0169,187,0.2408,4.65,2,2012-09-21T01:36:47+00:00,2017-12-03T22:40:12+00:00,1899,16,0.0254,462,2864,9,0.4843,1.8635,0.7499,7,3918,0.01,0.3768,0.3206,0.0149,271,True,True,False,True,True,True,False,grounding
